entry,key,ground_truth,predicted,match
0,menu[0].itemsubtotal,60.0,60.0,True
0,menu[0].num,901016.0,901016.0,True
0,total.creditcardprice,60.0,,False
0,menu[0].price,60.0,60.0,True
0,menu[0].nm,-ticketcp,-ticketcp,True
0,sub_total.tax_price,5.455,5.455,True
0,total.menuqty_cnt,2.0,2.0,True
0,total.total_price,60.0,60000.0,False
0,menu[0].cnt,2.0,2.0,True
0,sub_total.subtotal_price,60.0,60.0,True
0,sub_total.discount_price,-60.0,-60.0,True
1,menu[1].nm,y.b.bat,y.b.bat,True
1,total.cashprice,91000.0,91000.0,True
1,menu[2].nm,y.basoprom,y.basoprom,True
1,menu[1].price,46000.0,46000.0,True
1,menu[0].price,17500.0,17500.0,True
1,menu[0].nm,j.stbpromo,j.stbpromo,True
1,menu[2].price,27500.0,27500.0,True
1,total.total_price,91000.0,91000.0,True
2,total.cashprice,100000.0,100000.0,True
2,menu[0].price,24000.0,24000.0,True
2,menu[0].nm,jasminemt(l),jasminemt(l),True
2,total.menuqty_cnt,1.0,1.0,True
2,total.total_price,28000.0,28000.0,True
2,menu[0].cnt,1.0,,False
2,sub_total.subtotal_price,28000.0,28000.0,True
2,menu[0].sub,{'nm':'coconutjelly(l)''price':'4000'},,False
2,total.changeprice,72000.0,72000.0,True
3,total.cashprice,11000.0,11000.0,True
3,menu[0].unitprice,@11000,,False
3,menu[0].price,11000.0,11000.0,True
3,menu[0].nm,donatgula,donatgula,True
3,total.menuqty_cnt,1.00xitems,,False
3,total.total_price,11000.0,11000.0,True
3,menu[0].cnt,1x,1x,True
3,sub_total.subtotal_price,11000.0,11000.0,True
4,menu[1].nm,avocadocoffee,avocadocoffee,True
4,total.cashprice,200000.0,200000.0,True
4,menu[1].price,61000.0,61000.0,True
4,menu[2].nm,chikenkatsuff,chikenkatsuff,True
4,menu[0].price,82000.0,82000.0,True
4,menu[0].nm,iceblackcoffe,iceblackcoffee,False
4,menu[1].cnt,1.0,1.0,True
4,menu[2].price,51000.0,51000.0,True
4,menu[2].cnt,1.0,1.0,True
4,total.total_price,174600.0,174600.0,True
4,menu[0].cnt,2.0,2.0,True
4,sub_total.subtotal_price,194000.0,194000.0,True
4,sub_total.discount_price,19400.0,19400.0,True
4,total.changeprice,25400.0,25400.0,True
5,total.cashprice,31.0,31.0,True
5,menu[0].price,28.182,28.182,True
5,menu[0].nm,tradkytoastcarte,tradkytoastcarte,True
5,sub_total.tax_price,2.818,,False
5,total.menuqty_cnt,1.0,1.0,True
5,total.total_price,31.0,31.0,True
5,sub_total.subtotal_price,28.182,28.182,True
6,menu[1].nm,chococusardpastry,chococus'ardpastry,False
6,total.cashprice,50000.0,50000.0,True
6,menu[1].price,24000.0,24000.0,True
6,menu[2].nm,redbeanbread,redbeanbread,True
6,menu[0].price,13000.0,13000.0,True
6,menu[0].nm,eggtart,eggtart,True
6,menu[1].cnt,2.0,2.0,True
6,menu[2].price,9000.0,9000.0,True
6,menu[2].cnt,1.0,1.0,True
6,total.total_price,46000.0,46000.0,True
6,menu[0].cnt,1.0,1.0,True
6,total.changeprice,4000.0,4000.0,True
7,total.cashprice,rp.111000,rp.111000,True
7,menu[0].price,100000.0,,False
7,menu[0].nm,kupon15,kupon15,True
7,sub_total.tax_price,10091.0,10091.0,True
7,total.total_price,111000.0,111000.0,True
7,sub_total.subtotal_price,100909.0,100909.0,True
7,menu[0].sub,{'nm':'addchickenbox''price':'909'},,False
8,total.creditcardprice,50000.0,50000.0,True
8,sub_total.etc,0.0,0.0,True
8,menu[0].price,45455.0,45455.0,True
8,menu[0].nm,[reg]blacksakura,[reg]blacksakura,True
8,sub_total.tax_price,4545.0,4545.0,True
8,total.total_price,50000.0,50000.0,True
8,menu[0].cnt,1.0,45455.0,False
8,sub_total.subtotal_price,45455.0,45455.0,True
8,menu[0].sub,[{'nm':'cookiedohsauces''cnt':'1''price':'0'}{'nm':'natadecoco''cnt':'1''price':'0'}],,False
9,total.cashprice,50000.0,50000.0,True
9,menu[0].unitprice,36000.0,,False
9,menu[0].price,36000.0,36000.0,True
9,menu[0].nm,bumbukalduayam1,bumbukalduayam,False
9,total.changeprice,14000.0,14000.0,True
9,sub_total.subtotal_price,36000.0,36000.0,True
10,total.cashprice,20000.0,20000.0,True
10,menu[0].unitprice,17000.0,,False
10,menu[0].price,17000.0,17000.0,True
10,menu[0].nm,cinnamonsugar,cinnamonsugar,True
10,total.total_price,17000.0,17000.0,True
10,menu[0].cnt,1x,x,False
10,sub_total.subtotal_price,17000.0,17000.0,True
10,total.changeprice,3000.0,3000.0,True
11,total.cashprice,230000.0,230000.0,True
11,menu[0].price,230000.0,230000.0,True
11,menu[0].nm,banaberryfreshcreamcak,banaberryfreshcreamcak,True
11,total.total_price,230000.0,230000.0,True
11,menu[0].cnt,1.0,1.0,True
11,total.changeprice,0.0,0.0,True
12,menu[0].discountprice,0%,,False
12,menu[0].itemsubtotal,120000.0,120000.0,True
12,menu[1].nm,shoppingbag,shoppingbag,True
12,menu[1].discountprice,100%,,False
12,menu[0].unitprice,@120000,,False
12,menu[0].num,0571-1854,0571-1854,True
12,menu[1].unitprice,@880,,False
12,menu[1].itemsubtotal,0.0,0.0,True
12,total.creditcardprice,120000.0,120000.0,True
12,menu[1].num,1002-0060,1002-0060,True
12,menu[1].cnt,1.0,1.0,True
12,menu[0].nm,bluswanita,bluswanita,True
12,total.menuqty_cnt,(2,2.0,False
12,total.total_price,120000.0,120000.0,True
12,menu[0].cnt,1.0,1.0,True
12,total.changeprice,0.0,0.0,True
13,menu[1].nm,a.mineralgelas,a.mineralgelas,True
13,total.cashprice,52.0,52000.0,False
13,menu[0].unitprice,43.636,,False
13,menu[1].unitprice,3000.0,,False
13,menu[1].price,3000.0,3000.0,True
13,menu[0].price,43.636,43636.0,False
13,menu[0].nm,basokuah,basokuah,True
13,menu[1].cnt,1.0,3000.0,False
